block,phase,fair,price_on,price_off,kappa,trend,d,lp_on,lp_off,cum_lvr_on,cum_lvr_off,cum_noise_on,lp_vf,cum_lvr_vf,cum_noise_vf
106,0,4161739999999999606784,4163724083518974484964,4163724083518974484964,0,1,17471800247715046,8901069964613245478769368,8901069964613245478769368,9392980743903288052304,9392980743903288052304,0,8901903807883531979550951,8802451620992535477207,241586770472422239084
107,0,4146640000000000524288,4144073455516122175023,4144073455516122175023,0,1,122187817815106310,8884907632180883083523529,8884907632180883083523529,9411755207908685256620,9411755207908685256620,0,8885744157187716774098226,8817569448133233769982,242135092015400189212
108,0,4130840000000000262144,4131676238277304757048,4131676238277304757048,0,1,2933835514063969,8867963953959943974909220,8867963953959943974909220,9423095241925721603019,9423095241925721603019,0,8868801749847408359575980,8826223681297966603837,242305892185029271800
109,0,4148310000000000589824,4150958759177065520042,4150958759177065520042,0,1,70651750059605295,8886696613649987588582432,8886696613649987588582432,9441027433611333922910,9441027433611333922910,0,8887539780413348226155986,8841044317198567932410,242798959641056408130
110,0,4300989999999999803392,4283947379294710695502,4283947379294710695502,0,1,55984887519070460,9048775264625328734346911,9048775264625328734346911,10867000398770274870064,10867000398770274870064,0,9049663618317040527431552,10240472886435745892179,245858692745747530503
111,0,4330649999999999410176,4327234777360764029465,4327234777360764029465,0,1,514012388880712334,9079905043035121523192674,9079905043035121523192674,11000436512402490398982,11000436512402490398982,0,9080811017577249029529153,10360430131757794540396,246855908901711302237
112,0,4337270000000000589824,4339355366058550831533,4339355366058550831533,0,1,588836327877558698,9086841896350773514184500,9086841896350773514184500,11006531178728545060280,11006531178728545060280,0,9087752096956372351279387,10363607848327907390967,247462927487813471355
113,0,4350989999999999803392,4366285306405468701706,4366285306405468701706,0,1,608562042883035033,9101216408434136149140807,9101216408434136149140807,11014687620416882503907,11014687620416882503907,0,9102135027937683950815533,10368742481039466458925,251414809621937772871
114,0,4379840000000000000000,4389852322977878117041,4389852322977878117041,0,1,652006157636310210,9131332054421871211278743,9131332054421871211278743,11025653731947612412747,11025653731947612412747,0,9132259559077259492884949,10376360627365670252336,253883323079882150300
115,0,4378909999999999803392,4366282550820156765879,4366282550820156765879,0,1,687507569851766578,9130366112837500848695401,9130366112837500848695401,11032762604244441721998,11032762604244441721998,0,9131299039869482881923489,10380902034689680636637,256837325319610330277
116,0,4381869999999999803392,4357352951660351663923,4357352951660351663923,0,1,506656787921127923,9133477926314793448100661,9133477926314793448100661,11047261099095366845128,11047261099095366845128,0,9134420126154064495882494,10391909878357057936089,262306030843401070966
117,0,4440850000000000196608,4465859951604838622357,4465859951604838622357,0,1,437724601536518499,9194740869938105342661342,9194740869938105342661342,11461347929514838557851,11461347929514838557851,0,9195710814971955370964166,10789431952235119692766,267158845381678548770
118,0,4498960000000000000000,4492536464736613786837,4492536464736613786837,0,1,658545423217945669,9254669347596599444189634,9254669347596599444189634,11524430496118869673011,11524430496118869673011,0,9255656560119033122453261,10843501841084479864131,268927511484594509120
119,0,4487970000000000196608,4510398687212060101182,4510398687212060101182,0,1,692901024846827943,9243385198586569145703211,9243385198586569145703211,11525625469821614936255,11525625469821614936255,0,9244378172205521274732586,10843509993300127170803,274716526891665977646
120,0,4504989999999999803392,4487089234549874873546,4487089234549874873546,0,1,715350586229156939,9260885319830098357086473,9260885319830098357086473,11527292089822668307045,11527292089822668307045,0,9261885718924760231469108,10843889422126126112671,278963221745677006198
121,0,4466340000000000393216,4451098503207899421096,4451098503207899421096,0,1,542168764819419593,9221068637372847683695623,9221068637372847683695623,11552053633917994930469,11552053633917994930469,0,9222072845718822192983266,10864001822283763227683,282391007603741544583
122,0,4482729999999999410176,4462188849896208871227,4462188849896208871227,0,1,301833408349939588,9237983154364133538093520,9237983154364133538093520,11609958408053560969055,11609958408053560969055,0,9239001074020436691686436,10914691178653641188500,287059199458459786440
123,0,4539439999999999475712,4551966659086441156434,4551966659086441156434,0,1,339266610843086621,9296217632891214156967832,9296217632891214156967832,11952306228509641269429,11952306228509641269429,0,9297260181866698947310099,11241369171297142714876,289564023608746796308
124,0,4523409999999999672320,4533038004932199931725,4533038004932199931725,0,1,560953630124119437,9279785812919445096924798,9279785812919445096924798,11998246802022529224711,11998246802022529224711,0,9280836413013745843153614,11279884008785241651490,292062327897492512123
